,TILD001,TILD028,VUILD64,VUILD65,VUHD65,VUHD66,VUHD70,VUILD59,VUILD60,VUILD61,VUILD63,THD0001,TILD015,THD0002,TILD010,TILD006,THD0005,VUHD71,VUHD67,VUHD68,VUILD53,VUHD69
RPL9,9.84299572,10.28426346,10.78587262,8.126114326,26.59957272,15.61943702,21.94070811,10.96068832,12.43744396,13.3931918,12.43875224,16.17231825,9.736697121,11.99732691,9.415152728,12.45301193,5.051540985,4.69485149,23.92068751,12.36242621,9.018140731,10.5096756
UGDH,1.169856054,0.111311672,0.112767932,0.065685648,0.129885065,0.112115882,0.083563658,0.102136522,0.103362113,0.172093999,0.137823768,0.079681528,0.146490583,0.073131802,0.079668374,0.019525713,0.059629259,0.032455969,0.098516961,0.095172099,0.161064087,0.108640316
SMIM14,0.363262203,0.394383127,0.493901594,0.423911884,0.899126637,0.611377793,0.553710283,0.928510099,0.515723042,0.548491046,0.542847508,0.491000417,0.665206936,0.482418148,0.342444304,0.157717508,0.394034986,0.305223293,0.745792157,0.886012854,0.528478142,0.394370746
UBE2K,0.406250238,0.418363613,0.389656073,0.281390246,0.849727814,0.391002984,0.712504014,0.620677848,0.471620552,0.551431129,0.506829857,0.423497436,0.564290574,0.395292128,0.31971213,0.351053032,0.292791887,0.196036401,0.50947564,0.527588933,0.38466595,0.53089389
PDS5A,0.253488097,0.208308093,0.274845734,0.164476187,0.524538808,0.203432584,0.455340705,0.259210634,0.267239326,0.251482227,0.28138017,0.258279016,0.300474957,0.214922361,0.174858028,0.074135278,0.256039884,0.08702556,0.261710979,0.282803236,0.212582297,0.267637259
N4BP2,0.103477325,0.114728343,0.108702968,0.075559305,0.142626088,0.064056114,0.039993022,0.077768928,0.116196437,0.151844354,0.136278545,0.120751558,0.266599469,0.107740704,0.127867741,0.050450064,0.116738992,0.038824888,0.098022657,0.104692435,0.054814431,0.138072776
RHOH,0.256094318,0.260003535,0.07806731,0.06736854,0.131879083,0.135685251,0.137464226,0.127352618,0.203591786,0.193967112,0.211687132,0.078460122,0.213102264,0.15542881,0.052924757,0.049905079,0.15617728,0.01856216,0.100085065,0.047268073,0.086323567,0.128075177
RBM47,1.114096755,1.025217931,0.767396465,0.517991418,1.119052847,0.605640736,1.133194715,0.985495499,0.910935408,1.080113409,0.835005534,0.834831445,1.761904112,0.649904799,0.710603066,0.483372725,0.838586293,0.302097739,0.846249335,0.778528761,1.234577207,0.844404076
NSUN7,0.022099188,0.021982726,0.019014794,0.021123963,0.119636842,0.061590027,0.138630754,0.065746424,0.038658672,0.041614508,0.01824083,0.04040009,0.024069692,0.016589801,0.025916171,0.014079083,0.008692576,0.024955335,0.104104848,0.036802886,0.007644937,0.046780358
LIMCH1,0.052660068,0.028699669,0.082231414,0.03802264,0.061230527,0.082158908,0.014692845,0.033632453,0.046766108,0.083331791,0.026929506,0.061076432,0.025922791,0.053402518,0.056450368,0.021359212,0.011409792,0.020284362,0.041837443,0.008608391,0.036340362,0.005668549
TMEM33,0.364080484,0.393943353,0.390647421,0.282074416,0.852862241,0.344261491,0.829966089,0.814611849,0.516174787,0.542358788,0.505650701,0.368455728,0.629696839,0.321464536,0.285463296,0.121725006,0.389720719,0.232035426,0.570150987,0.663218536,0.715138941,0.421390436
SLC30A9,0.187518118,0.185054182,0.147302746,0.130608428,0.32464284,0.187078999,0.191065625,0.232901562,0.24261148,0.235317916,0.249937328,0.219410948,0.274569141,0.153936744,0.17933079,0.086331806,0.211560423,0.059246074,0.26366569,0.230379232,0.133945658,0.254545303
