,TILD001,TILD028,VUILD64,VUILD65,VUHD65,VUHD66,VUHD70,VUILD59,VUILD60,VUILD61,VUILD63,THD0001,TILD015,THD0002,TILD010,TILD006,THD0005,VUHD71,VUHD67,VUHD68,VUILD53,VUHD69
TGFB1,0.739176549,0.98555662,1.195542553,0.75218479,2.332576316,0.817716876,2.363796057,1.081969807,0.892283678,1.10253892,1.381307731,1.445639879,1.265226232,0.775493638,0.821500926,0.415230892,0.761371112,0.390168001,1.38213813,1.226097199,0.532723519,0.570096578
NOC2L,0.13406817,0.22989265,0.211693328,0.154185661,0.308301191,0.168650211,0.16872417,0.184664196,0.158511359,0.198644517,0.30798969,0.248794739,0.335968433,0.165835117,0.18727299,0.101915474,0.203183944,0.069158136,0.205934219,0.227649308,0.103411594,0.381611175
HES4,0.193468723,0.086570098,0.117260026,0.095663877,0.061450811,0.164589617,0.066250831,0.091099576,0.142462447,0.190019238,0.131075724,0.188983955,0.116765687,0.490879297,0.064483197,0.044364072,0.088320963,0.019054637,0.024233051,0.014834856,0.302318365,0.072461921
ISG15,0.577241358,0.557604699,0.978164764,0.461981104,1.552959409,0.928404583,5.066369472,2.58659609,0.761392275,1.797574621,1.374319785,0.805820156,1.261700421,0.857760972,0.658878964,1.015299745,0.767441208,0.453217883,0.940290431,0.657189732,0.960675945,0.349063692
AGRN,0.059907483,0.062720635,0.164381673,0.080512284,0.090367505,0.094169316,0.16514133,0.13405444,0.132202141,0.100471467,0.060772901,0.044158594,0.060207161,0.031322338,0.086588232,0.034522065,0.066020271,0.0286745,0.078564878,0.069496107,0.053828066,0.056148873
TTLL10,0.000569277,0.001096908,0.013669618,0.0048056,0.004514523,0.008393011,0.005702624,0.007293601,0.013783298,0.026459937,0.00385203,0.000139404,0.002038246,0.000200938,0.00107603,0.001639829,0.000869775,0.001144221,0.00290872,0.001749485,0.010872965,0.000306476
SDF4,0.883487606,1.069692929,0.89293357,0.81782518,1.760775891,0.857396306,1.115939987,1.144909059,0.740644547,1.09227215,1.134574779,0.804196034,1.288813946,0.716637353,1.016533245,0.300307782,0.534742265,0.318141806,1.103633462,1.073032142,0.445107899,0.909762917
UBE2J2,0.217113397,0.304700857,0.225867098,0.201585626,0.447021721,0.238226133,0.294633139,0.250340046,0.210486727,0.337857128,0.356101202,0.289052431,0.385868697,0.225675166,0.257193528,0.15878626,0.143194163,0.096243844,0.333310746,0.282674987,0.127432904,0.221081694
AURKAIP1,0.697478665,1.299541247,1.126003804,1.021037714,2.203609758,1.293531555,1.338372959,1.510834476,0.996008546,1.504863794,1.439029074,1.126228078,1.138774133,1.093110685,1.34780512,1.693090344,0.543963058,0.547695399,1.465043097,1.323748941,0.790354694,0.787921027
CCNL2,0.213669659,0.238729787,0.308240167,0.187550157,0.399849979,0.19046964,0.354497398,0.186168303,0.218209226,0.19924268,0.292417853,0.238174037,0.357034017,0.200191359,0.152410495,0.069413708,0.302590656,0.050077201,0.216780445,0.190024966,0.089642957,0.366989927
MRPL20,0.657760338,1.074613777,1.1967249,0.978058185,1.739006716,1.238041202,1.018992309,1.446674123,1.135331795,1.28255654,1.380226422,0.941339269,1.032194769,0.735009419,1.192709717,1.251962644,0.497218276,0.534799829,1.354940263,1.249002638,0.58152429,0.695163477
ANKRD65,0.012422204,0.007748586,0.050418782,0.058928974,0.015404337,0.105112632,0.005620984,0.025383486,0.07777296,0.097548264,0.026721526,0.023791631,0.010301272,0.0071697,0.01630437,0.012323406,0.000804422,0.001636172,0.010239139,0.002024478,0.015123112,0.00015281
VWA1,0.015949914,0.022809577,0.037011339,0.0411527,0.01287396,0.062081338,0.002781308,0.013113999,0.02213116,0.037951419,0.01009519,0.011801182,0.027116038,0.008503306,0.018601039,0.0075152,0.00255408,0.002791776,0.005691589,0.000249398,0.10656868,1.49E-05
SSU72,0.711764328,1.186881044,0.865239491,0.684023597,2.314131801,1.251309244,2.033676443,1.331596435,1.060996449,1.49296655,1.751034371,1.303183628,1.008125227,1.030701919,1.020793646,0.615395545,0.506085071,0.552309175,1.624032234,1.293419294,0.631726676,0.795620795
MIB2,0.06052082,0.06245805,0.058347818,0.049627051,0.150218595,0.096113716,0.122771069,0.060844228,0.052754664,0.070132302,0.068352523,0.079317426,0.073608224,0.066599819,0.047503183,0.026416685,0.050241208,0.019293875,0.104346067,0.068635125,0.055093077,0.042975115
CDK11B,0.229550126,0.157502784,0.2443785,0.165001883,0.377480554,0.156049854,0.271922839,0.202606963,0.175800319,0.162098784,0.238454796,0.264062261,0.36861761,0.288723672,0.155992441,0.212172294,0.148426828,0.061305404,0.2315163,0.222118355,0.099450923,0.327989764
SLC35E2B,0.053387361,0.065340562,0.078785207,0.076323124,0.177508496,0.060189662,0.058269476,0.061781587,0.071221004,0.073767782,0.071343107,0.122115104,0.097911929,0.083518393,0.047493767,0.027176035,0.031620329,0.028626438,0.099008567,0.107970931,0.03903143,0.192207529
CDK11A,0.127179095,0.14562353,0.14439452,0.100237045,0.333906485,0.146229522,0.235034479,0.162127787,0.118632706,0.141300004,0.240429194,0.233907757,0.25408268,0.222822943,0.083898299,0.095641778,0.194064585,0.040305385,0.136309605,0.18745067,0.055192531,0.372015618
NADK,0.119171647,0.195516688,0.192540316,0.156334753,0.464748527,0.221775517,0.382477269,0.197945714,0.194535249,0.28511538,0.293963037,0.245141194,0.416841535,0.214542586,0.146704996,0.082925726,0.287719933,0.056725637,0.238244998,0.17002112,0.113337164,0.410461968
GNB1,0.779810155,0.558284506,0.894388566,0.632203507,1.331358525,0.537289157,1.229201236,0.880096916,0.795102309,0.82263224,0.900456075,0.799215025,0.802474571,0.501216468,0.580027164,0.298195953,0.375049947,0.238780537,0.743256999,0.775286541,0.521806464,0.597035379
CFAP74,0.000221691,0.000330782,0.010572371,0.005498491,0.002456768,0.00686779,0.006162191,0.001354439,0.0097293,0.014102043,0.002601708,2.83E-05,0.001101966,4.60E-05,0.000298614,0.00072218,0.00145597,0.00254827,0.000159133,0.000322962,0.007018659,7.48E-05
PRKCZ,0.010683989,0.010531824,0.059437517,0.024915822,0.028570965,0.115727545,0.027376055,0.027309099,0.042868982,0.078686978,0.042183525,0.039627025,0.024618086,0.023065246,0.020428,0.003876574,0.013156369,0.005380833,0.041336662,0.003670584,0.025679884,0.00343327
FAAP20,0.424361768,0.458041707,0.657667764,0.568674529,0.999071402,0.824538559,0.693473066,0.777625525,0.612880939,0.86303152,0.73468716,0.575615828,0.662469714,0.564422459,0.560100674,0.642105414,0.281796359,0.265340244,0.755489877,0.503992372,0.297623859,0.464656838
SKI,0.324063091,0.151151577,0.281313685,0.174459885,0.424749067,0.158567718,0.341813603,0.247083355,0.171463489,0.160542912,0.275483668,0.261528243,0.308883287,0.281632983,0.161594097,0.061774899,0.196666473,0.086218965,0.292105734,0.382789786,0.130161616,0.0530908
MORN1,0.00866539,0.009346136,0.015702856,0.016940905,0.013206201,0.039186091,0.013833764,0.009943422,0.020865503,0.035801981,0.016945683,0.006371801,0.018477223,0.010585793,0.016224666,0.00866552,0.009676759,0.00733975,0.010476421,0.008493614,0.011764436,0.001779922
RER1,0.604010106,1.163347885,1.080681691,1.005010862,2.095985988,1.221059359,1.274673894,1.521507288,0.907035091,1.183514608,1.499360053,0.89527681,1.068979514,0.865300392,0.994087767,0.952967821,0.627252923,0.579916229,1.322235503,1.184436992,0.554308994,0.654780698
PEX10,0.084627638,0.106653891,0.081386712,0.090075275,0.285267066,0.1318536,0.105644353,0.120329931,0.122448014,0.146341541,0.160480308,0.130963624,0.161695287,0.083131693,0.124352779,0.035456141,0.078379312,0.05417141,0.179090586,0.143866089,0.043142734,0.190180586
TNFRSF14,0.384450408,0.628007727,0.485683007,0.409805835,1.383364305,0.558401061,0.943900787,0.505213288,0.583608457,0.740564625,0.736994717,0.709573224,0.788347893,0.462755028,0.431819189,0.195019676,0.585339132,0.158604394,0.787290061,0.60386758,0.354014952,0.66190405
TPRG1L,0.041886159,0.036718898,0.088748676,0.095361223,0.138821412,0.054925142,0.087837467,0.099222855,0.105931581,0.092499905,0.108251153,0.091625462,0.055981448,0.047933255,0.06965864,0.0253097,0.033709426,0.034943781,0.07735876,0.090313869,0.036399688,0.024215445
WRAP73,0.054843265,0.140249157,0.113056072,0.130688945,0.194931235,0.086184101,0.171573466,0.148407445,0.113655388,0.104275325,0.175409689,0.147659595,0.185043881,0.132568691,0.113714386,0.022870656,0.120294347,0.042701311,0.153784641,0.174245811,0.034533864,0.050887981
TP73,0.000137006,0.000493791,0.005970247,0.011413788,0.001697024,0.00378206,0.005247846,0.005122388,0.020514122,0.020901864,0.007285182,0.000335892,0.002420493,0.000143282,0.002905886,0.001117387,0.002145163,0.001089838,0.002003325,0.001498777,0.012202536,7.49E-05
LRRC47,0.100855169,0.133325003,0.109974212,0.094096601,0.255682941,0.164312013,0.14926511,0.133132839,0.140758639,0.171971198,0.178564286,0.17597505,0.24948413,0.126084124,0.121603098,0.045179846,0.108104817,0.03274494,0.2030472,0.163984037,0.07516152,0.23052601
CEP104,0.082578932,0.11709087,0.053549912,0.05758035,0.204811954,0.04908784,0.145160881,0.087033472,0.08869093,0.097092789,0.102571239,0.100580726,0.166229125,0.101653093,0.08526281,0.051909758,0.100303647,0.031171011,0.141889675,0.096060693,0.045012422,0.110051338
C1orf174,0.117158626,0.173534147,0.135712913,0.107643396,0.375921682,0.162594692,0.494331698,0.22246028,0.198053848,0.18692822,0.227370059,0.227938287,0.224782109,0.15867354,0.156872917,0.024695343,0.15061877,0.069653279,0.244099303,0.240963531,0.067293815,0.216000476
KCNAB2,0.441532444,0.832338273,0.572088076,0.389331665,2.185408909,0.343864709,1.05903483,0.548979195,0.534119194,0.651874607,1.079976229,1.070863294,0.809778859,0.720272866,0.654659669,0.267760045,0.461392264,0.270731639,1.175620212,1.444167657,0.266645626,1.259910229
RPL22,6.689291673,5.399460353,10.0327237,6.86332008,22.48333989,17.34909011,20.80282129,11.2164954,11.95325357,13.99690609,12.89153821,11.70677992,6.724042946,7.750360199,6.847169888,8.610930738,4.509008596,4.132887528,14.51975807,13.71688109,4.359588061,7.143199442
ICMT,0.132093815,0.134078628,0.164678592,0.140102771,0.15644329,0.129358943,0.174184531,0.176340158,0.118487236,0.187723378,0.201348919,0.134160401,0.216451741,0.093654318,0.15749453,0.057678581,0.113113379,0.055630583,0.152511452,0.15974154,0.062466305,0.165860077
ACOT7,0.14139848,0.249679552,0.478875394,0.518112312,0.562702994,0.383421668,1.411262529,1.42112849,0.355378573,0.291643587,0.277498828,0.058837408,0.180580995,0.078378009,0.440087489,0.185941789,0.082740535,0.092786186,0.493862943,1.067304842,0.415615756,0.019990513
NOL9,0.110909445,0.125177689,0.064765347,0.063479821,0.123151747,0.039457824,0.055943239,0.074972569,0.080667609,0.083526774,0.096955269,0.081900468,0.184313702,0.070373066,0.077928432,0.07004504,0.080755929,0.031498659,0.096956834,0.086684499,0.043211017,0.096101183
ZBTB48,0.039564435,0.092192869,0.090034988,0.085906975,0.17470673,0.08452747,0.152786694,0.098855261,0.101754028,0.090743357,0.141051981,0.103886853,0.158448108,0.079462176,0.066391717,0.028317909,0.107828929,0.032959658,0.101402627,0.105838227,0.055812098,0.183472356
CAMTA1,0.449980993,0.456935691,0.827663619,0.577086105,1.246707382,0.929591111,0.997044531,1.534875509,0.820937329,0.938920562,0.741050887,0.624966205,0.694745832,0.509688587,0.495764129,0.519036167,0.307969473,0.337558173,1.01517617,0.957412306,0.691966344,0.217196382
VAMP3,0.58834006,0.510893352,0.538176742,0.410181611,1.218893374,0.738391342,0.632082198,0.933406739,0.549196582,0.690305511,0.785827342,0.711717463,0.893359763,0.650933278,0.474954412,0.169250873,0.52215916,0.279870973,0.912432818,0.991848749,0.484286245,0.580919767
PER3,0.170153486,0.032637845,0.04094676,0.035074727,0.095261127,0.06283027,0.107608665,0.127277584,0.061731692,0.051395733,0.023921097,0.043981935,0.104182495,0.025603476,0.106400401,0.021016323,0.047658398,0.013128924,0.02495779,0.062226381,0.11824299,0.045918526
PARK7,1.072411354,1.775630708,2.052370335,1.566158271,3.619693038,2.505798757,3.066605343,2.264003717,1.859745112,2.442824528,2.937193931,1.663038415,2.102128866,1.274065835,1.967041262,2.697943201,0.849314113,0.788814186,2.55442952,2.491138396,0.834922569,1.290095752
ERRFI1,1.7608059,0.143675823,0.27251426,0.088546682,0.74570954,0.131369324,0.168688551,0.323173602,0.119420377,0.289786663,0.101977152,0.132763991,0.068019732,0.428731409,0.116948953,0.024121156,0.076058298,0.039630194,0.298008001,0.29938508,0.473645413,0.028536823
RERE,0.150390784,0.180330026,0.145057324,0.097026901,0.312814263,0.155738257,0.223772891,0.09340796,0.136676392,0.157996546,0.168132195,0.255297463,0.245571497,0.194613632,0.143882916,0.112150138,0.202039158,0.036176582,0.159169012,0.146468941,0.090329493,0.208229162
ENO1,2.97200996,3.464538898,4.184779982,3.138923414,5.123469584,3.304463377,3.027846328,3.233813226,3.156501713,5.005907613,5.362064536,3.165828988,5.68866886,2.152488837,2.740239051,1.26960129,1.63745298,1.231676546,3.366685014,4.387812272,2.36892065,4.048089448
H6PD,0.143666789,0.149427405,0.112161735,0.078554066,0.296803292,0.126125872,0.111187961,0.127605104,0.079262517,0.114355645,0.103670836,0.200870672,0.148208316,0.139726854,0.114125542,0.063911869,0.097614156,0.048786655,0.238820733,0.173925015,0.097117443,0.140667458
SPSB1,0.473999919,0.104074148,0.041034801,0.034143129,0.045497839,0.032779003,0.067189335,0.03294744,0.063864987,0.151187269,0.038333928,0.01656786,0.043836654,0.010326409,0.039860549,0.016951628,0.014609195,0.003331486,0.02297639,0.006273194,0.224633848,3.62E-05
CLSTN1,0.186528413,0.128087712,0.244815199,0.173375565,0.218552058,0.123627215,0.081300085,0.161969347,0.190931494,0.175623139,0.172283556,0.130027624,0.297944442,0.110004365,0.142534769,0.072269382,0.149208342,0.024403321,0.147705337,0.131790963,0.071650501,0.103396435
CTNNBIP1,0.140712727,0.225750043,0.283184146,0.241557379,0.627143968,0.412325292,0.349286628,0.275467459,0.229518531,0.380210705,0.309329546,0.273836661,0.298815498,0.304404511,0.241160922,0.191726959,0.153623903,0.080267232,0.356961916,0.233288976,0.170132864,0.148472522
LZIC,0.192159303,0.192913967,0.208727559,0.159669638,0.529992931,0.283567955,0.424170488,0.341342061,0.2603556,0.317204862,0.316110847,0.228277036,0.327258234,0.179930351,0.199843088,0.190988003,0.161413551,0.091347778,0.292244834,0.275354054,0.092701801,0.18926171
RBP7,0.124703799,0.182008338,0.133754175,0.0433815,1.120012725,0.275906284,0.481048292,0.196810718,0.127197489,0.171539274,0.150361822,1.305893625,0.162977703,0.440453403,0.067179098,0.122645481,0.276121214,0.233240854,0.48269619,0.322049781,0.074426684,0.652512216
UBE4B,0.087298667,0.118980322,0.106187218,0.080984588,0.271360228,0.073234471,0.145183926,0.099926868,0.110138029,0.11549134,0.181091589,0.160029924,0.185673197,0.097068495,0.072056994,0.057080449,0.094182061,0.04169852,0.152609151,0.174428144,0.077155206,0.262055217
KIF1B,0.427554713,0.20897047,0.140607757,0.115380199,0.259674679,0.073728033,0.162591236,0.121646895,0.136288734,0.172676828,0.23690552,0.253459022,0.398343905,0.23880107,0.196144073,0.115623084,0.141889226,0.039792139,0.159665862,0.173613781,0.334488535,0.304177332
PGD,1.225068757,2.273105722,1.480395839,1.115113436,8.886672563,2.624960678,5.846977171,3.219756856,1.445075752,2.384371386,3.92061256,3.086950983,1.658995376,2.306561772,1.166163446,0.569814949,1.58954424,2.02855702,3.560457313,5.410184208,0.588079539,2.539645954
DFFA,0.069360828,0.142844747,0.143542442,0.121965824,0.314271899,0.182930904,0.172045103,0.220166757,0.148966479,0.177484904,0.171052465,0.136682391,0.18450576,0.125971707,0.151785948,0.116551633,0.12165872,0.059399456,0.168416396,0.175365293,0.102723496,0.12536337
PEX14,0.054111969,0.097460524,0.140042963,0.078801613,0.352932806,0.161131962,0.241796985,0.255287726,0.072043396,0.113486664,0.096990077,0.126448324,0.124218801,0.138874143,0.100449989,0.033890691,0.195500053,0.070735535,0.169825042,0.217806583,0.0284338,0.146782156
CASZ1,0.011297646,0.012471734,0.040615118,0.033234878,0.036441578,0.024749388,0.035304798,0.026803461,0.030962562,0.040260571,0.029900637,0.015148956,0.022536027,0.026629101,0.019773008,0.008251932,0.00857747,0.009848584,0.020211248,0.029245836,0.024872282,0.002143039
TARDBP,0.268096143,0.190265765,0.280980021,0.200924499,0.333653182,0.233274213,0.252685229,0.27342941,0.268592778,0.254579758,0.294086563,0.190380611,0.317593172,0.156324397,0.184821235,0.089786094,0.205115219,0.09243939,0.270625798,0.269200407,0.248723343,0.225923785
SRM,0.297646364,0.592848025,0.38303069,0.270821399,1.119460178,0.427372802,0.692938376,0.29352876,0.328508353,0.585767118,0.479815961,0.445782946,0.540117901,0.218903011,0.539071373,0.648863887,0.207251063,0.132815841,0.54839515,0.301300202,0.404874997,0.165157542
EXOSC10,0.15218236,0.224946101,0.163437365,0.138874813,0.375128656,0.193297657,0.260684772,0.16275379,0.150564158,0.197743803,0.24643491,0.190972393,0.283341072,0.175046449,0.133329542,0.069188825,0.223083408,0.044684707,0.201050552,0.212488012,0.050927013,0.331677764
MTOR,0.081249505,0.118536839,0.10842574,0.073048911,0.188100173,0.045325909,0.099425952,0.074144134,0.071774991,0.092568658,0.115516619,0.116109584,0.163552314,0.117796166,0.097120236,0.095881965,0.088662124,0.025630532,0.11678206,0.098045386,0.013958801,0.178864476
FBXO2,0.015105619,0.003971576,0.016967348,0.014306501,0.008239714,0.021917893,0.00122162,0.01358054,0.019011453,0.043519936,0.013971234,0.006406554,0.003666986,0.005844177,0.010243501,0.004424994,0.002110918,0.001611148,0.006283858,0.001121433,0.008537215,0.000128223
FBXO6,0.083676842,0.172368445,0.156349677,0.096586599,0.435697469,0.200179236,0.608268039,0.331164351,0.148174828,0.251427514,0.283127131,0.158600621,0.28220342,0.167171378,0.152608336,0.102292732,0.117888312,0.070241129,0.308537274,0.28230059,0.080747985,0.139316282
MAD2L2,0.26475059,0.272849099,0.245942737,0.171020968,0.460573215,0.25447855,0.375840724,0.289423484,0.239474506,0.309869595,0.314694704,0.272630236,0.31186561,0.207479894,0.23124855,0.26429258,0.139282511,0.073146418,0.297025093,0.23264317,0.179863154,0.178793723
AGTRAP,0.473931184,1.033607729,0.686487048,0.599881674,1.270004744,0.771594339,0.990752539,1.22814766,0.887258907,0.769825362,1.177619531,1.096486027,1.120863089,0.822815961,0.878174401,1.209222388,0.786972165,0.325409322,1.450393151,1.010540641,0.38979156,1.093713675
MTHFR,0.13567667,0.147403579,0.092407327,0.079176461,0.187331112,0.053918818,0.090341755,0.082102007,0.074747353,0.108811677,0.094281604,0.231749288,0.248647618,0.122195199,0.084622822,0.061276211,0.134829216,0.033781435,0.123864663,0.124181104,0.083704289,0.229469232
KIAA2013,0.102447465,0.10724636,0.169181562,0.12693752,0.293125027,0.123890213,0.408816119,0.19704507,0.189637484,0.132770929,0.175975948,0.153380974,0.086666948,0.113643254,0.138176366,0.056502093,0.098401101,0.054322545,0.162234524,0.170598801,0.103639237,0.070709067
PLOD1,0.141683895,0.201986053,0.214279997,0.179840696,0.374944562,0.22743695,0.283560335,0.326666422,0.201934883,0.207828601,0.316692495,0.216992945,0.295358208,0.167839797,0.141453795,0.089595242,0.198627431,0.064584369,0.229139153,0.294855491,0.125793704,0.301034683
MFN2,0.086515579,0.113351671,0.108486867,0.083725005,0.186401096,0.104377509,0.137917312,0.124916087,0.115873635,0.142234734,0.174433551,0.162899828,0.180695286,0.135598398,0.088227978,0.063692604,0.103812729,0.03896781,0.149071011,0.134026823,0.081130792,0.184097801
MIIP,0.192894937,0.281224786,0.264790272,0.246554939,0.726684458,0.343559704,1.092990093,0.539731267,0.282262137,0.349285412,0.464831292,0.385239635,0.37904511,0.350872069,0.244459912,0.078320544,0.295976194,0.2131385,0.518253935,0.61275273,0.130265431,0.376938502
TNFRSF1B,1.685204174,0.814937047,0.595366131,0.360953738,0.521385892,0.434309594,0.232483785,0.235203431,0.444909925,0.594286111,0.607804537,1.463649273,1.794838742,1.05812767,0.403477939,0.272043884,1.475854268,0.05365275,0.624619556,0.234116038,0.427975852,2.709594378
VPS13D,0.133837666,0.142955843,0.152016485,0.097739493,0.217406926,0.077175858,0.142869341,0.112607809,0.124316952,0.129315827,0.101676209,0.147768237,0.201179707,0.120254258,0.084314925,0.056696149,0.204680895,0.039735081,0.148207541,0.127631608,0.035054284,0.183031003
DHRS3,0.138375201,0.185529862,0.26587011,0.255062198,0.614671511,0.325750058,0.495628362,0.409015457,0.368713002,0.326368053,0.196428191,0.160940219,0.184792106,0.160406056,0.20074323,0.166397626,0.198418846,0.106809777,0.240187179,0.261064173,0.330375099,0.069840797
C1orf158,0.000364182,0.001257719,0.005897349,0.005449747,0.004713914,0.016901574,0.006620657,0.00239099,0.016357632,0.023400629,0.012619016,2.23E-05,0.000337033,0.000871125,0.002155168,0.000487569,0.001137294,0.002416752,0.002201731,0.00037386,0.006936326,9.48E-05
PRDM2,0.304691442,0.236167981,0.194978839,0.134050223,0.359306877,0.220129851,0.35093589,0.190140883,0.139824997,0.189590252,0.195142997,0.285689881,0.369896524,0.269865312,0.137303419,0.122340432,0.24688486,0.061318255,0.254355831,0.246827127,0.160485461,0.499634196
KAZN,0.068743575,0.012458739,0.025392559,0.020619906,0.059150398,0.014690476,0.102091203,0.049017357,0.020155462,0.015090992,0.008823281,0.006101194,0.008315749,0.006763272,0.015766407,0.008620396,0.009714681,0.021647455,0.042571111,0.053133662,0.029520258,0.000522127
TMEM51,0.193143155,0.333445341,0.489022972,0.283583406,0.604121717,0.403097033,0.643604223,0.294123369,0.282240804,0.48276488,0.393436793,0.309531818,0.538325386,0.229274847,0.325428204,0.096490161,0.262686242,0.0550196,0.413487325,0.261047747,0.130601642,0.138881045
FHAD1,0.019223545,0.037897791,0.065399712,0.093546309,0.100027956,0.034378205,0.16294528,0.087251305,0.073563391,0.098089628,0.04763267,0.049074976,0.154532602,0.10390212,0.044679796,0.046548283,0.020357763,0.022171838,0.092478814,0.033121546,0.044877437,0.032123355
EFHD2,0.608963476,0.791180116,1.034349785,0.739563869,2.677151278,0.834175535,1.922778316,1.280149649,0.685568373,0.97510312,0.870922621,1.009301353,1.24706721,0.660494279,0.910409328,0.72571238,0.511834728,0.415204919,0.841115557,0.779293375,1.134119136,0.930611712
CASP9,0.226593002,0.099479464,0.068099034,0.04946342,0.278200555,0.092734137,0.119945208,0.157642685,0.065711964,0.076783491,0.092419441,0.238506606,0.238895645,0.146439411,0.069242205,0.033648613,0.201211248,0.022572811,0.114701431,0.123257202,0.086806957,0.207869484
DNAJC16,0.060286457,0.076422383,0.051366058,0.041567478,0.118770691,0.056828585,0.085043587,0.075804984,0.074828486,0.06215883,0.063700469,0.083900212,0.127044356,0.068695642,0.043706302,0.033967966,0.088860311,0.027014709,0.059816857,0.073274242,0.040967116,0.03948806
DDI2,0.111193734,0.139186795,0.079017502,0.085876437,0.267736727,0.09810697,0.258901535,0.147418723,0.170057248,0.144674822,0.131179822,0.153563681,0.23421879,0.099703309,0.119295693,0.082105118,0.145142218,0.038450786,0.131221063,0.149717056,0.122450068,0.212099849
PLEKHM2,0.249652038,0.197797405,0.274473948,0.226508785,0.508298635,0.118958516,0.388084821,0.168841983,0.219923996,0.262196339,0.248367482,0.25830064,0.190036318,0.194647719,0.204433876,0.091413119,0.121576445,0.090854042,0.205841195,0.288672227,0.130836768,0.150311212
SPEN,0.466297664,0.44052574,0.274190631,0.124986649,0.418134612,0.192438406,0.345540262,0.184585911,0.15864572,0.23239559,0.248241664,0.450112657,0.665849728,0.375136279,0.205999542,0.129151675,0.477794775,0.052838165,0.294587232,0.234426701,0.157918004,0.423195736
EPHA2,0.016944648,0.023864073,0.125573323,0.068377873,0.022801713,0.025699004,0.014763125,0.026867532,0.053424311,0.047406527,0.015983558,0.02570819,0.018648624,0.018842743,0.018103092,0.007693905,0.004510188,0.006317137,0.010675674,0.010416039,0.070947829,0.002601114
FBXO42,0.098554103,0.142662782,0.106603163,0.085727247,0.292126099,0.136051624,0.227735139,0.157269767,0.092484074,0.114379616,0.165296576,0.157983978,0.211334748,0.120618917,0.087079218,0.04749876,0.190586997,0.042386504,0.166410631,0.163056155,0.035177553,0.244496601
SZRD1,0.400410872,0.356961485,0.323077268,0.297438654,0.613173986,0.376798994,0.605128617,0.401403231,0.268658044,0.447150556,0.434822694,0.299016656,0.60130582,0.272596536,0.29159601,0.242295465,0.215225706,0.116671829,0.471260762,0.394768855,0.219398112,0.621323976
NECAP2,0.300406365,0.429488657,0.513457983,0.45413409,1.125436746,0.669378196,0.968965679,1.054713386,0.434217525,0.444968293,0.560774557,0.463042553,0.565867869,0.441985877,0.39810484,0.209418154,0.539269617,0.17035846,0.828020255,0.822625309,0.293618552,0.601734594
CROCC,0.024750135,0.023910256,0.055589814,0.034777976,0.047734754,0.046421976,0.03958972,0.016793496,0.035296178,0.042116277,0.037572535,0.026846367,0.037631777,0.027672752,0.027711048,0.0082289,0.03787916,0.010573912,0.023212133,0.021148145,0.015136391,0.058606414
SDHB,0.511771112,0.797982153,0.764208139,0.702059382,1.900245567,0.892417925,1.336934939,0.951490519,0.731091098,0.963819764,1.082854309,0.858041201,0.813754516,0.662023467,0.704218397,0.639117923,0.420953413,0.346170545,1.099926216,1.026890772,0.46393088,0.854193127
RCC2,0.214377427,0.168962294,0.293592803,0.219203165,0.343786443,0.179473581,0.332720036,0.256601918,0.244974463,0.208771555,0.254757045,0.360832657,0.328226237,0.163990256,0.192220719,0.092481764,0.171818405,0.063584139,0.226535682,0.241340649,0.142192087,0.179667215
ARHGEF10L,0.152811831,0.147335337,0.304065627,0.289973595,0.304979978,0.179693333,0.271276047,0.218445794,0.119941195,0.169087904,0.225285112,0.233945134,0.442221942,0.184743996,0.247726009,0.059404395,0.364950019,0.055449173,0.244512431,0.252361792,0.060369085,0.242290279
UBR4,0.484471976,0.444157287,0.415011079,0.34127945,0.543277596,0.239212636,0.295833462,0.274085587,0.277904422,0.428687875,0.345019743,0.426418538,0.657880046,0.350268829,0.311573342,0.265902982,0.40191942,0.09589541,0.397313993,0.325857857,0.160850829,0.676020857
EMC1,0.095730226,0.11976398,0.161272341,0.094555801,0.179160933,0.114904516,0.105767206,0.164494333,0.137324167,0.125840854,0.147302869,0.089878764,0.211850847,0.06574935,0.086617182,0.060746476,0.121719392,0.042092892,0.12801491,0.163582034,0.089525253,0.117377582
MRTO4,0.173498398,0.331415181,0.246380554,0.195825896,0.31738779,0.229925776,0.281990078,0.284519403,0.243795556,0.278382368,0.383616982,0.189330178,0.337537684,0.13072637,0.318278584,0.256974173,0.121074156,0.104281669,0.339948401,0.277035605,0.13485898,0.161743338
AKR7A2,0.238664709,0.498884635,0.439286333,0.415141775,0.908132763,0.686246303,0.447636767,0.648855815,0.538171879,0.545369343,0.732895335,0.337630921,0.405527143,0.297095895,0.477211979,0.424091547,0.185092748,0.252083703,0.689940961,0.666095082,0.26826233,0.224361625
CAPZB,1.896751641,2.251196552,2.138830037,1.78664869,3.243192552,2.082240362,2.063297368,2.158748686,1.899561621,2.227139577,3.063163144,2.187187566,3.107057892,1.64003375,1.909874262,1.026258119,1.36877847,0.646825931,2.226451688,2.238108628,1.087124018,2.702856697
NBL1,0.40850521,0.067955589,0.011898117,0.01193491,0.082071211,0.357738199,0.002808748,0.023495254,0.025888186,0.037850642,0.028651609,0.009876881,0.042701609,0.024756037,0.062906891,0.027573245,0.008068401,0.009196529,0.015208189,0.003428715,0.12801063,0.000172907
