geneName,ipf_n,control_n,ipf_mean,control_mean,ipf_sd,control_sd,contrast,diff,SE,tratio,pvalue
MED24,103,103,11.20712909,11.43124852,0.604591149,0.947066433,ipf - control,-0.258344903,0.112113559,-2.304314532,0.022263875
RHOBTB2,103,103,10.89391965,11.67375083,0.856274517,0.820831784,ipf - control,-0.773951722,0.121320898,-6.379376815,1.28E-09
HEATR5B,103,103,5.473171384,5.951242914,0.975205027,0.822313643,ipf - control,-0.434435951,0.129184831,-3.362902187,0.000929192
SEC62,103,103,11.18765493,11.39813624,0.406797749,0.405560865,ipf - control,-0.210304446,0.057390819,-3.664426609,0.000319843
RPS20,103,103,16.27894843,16.53044115,0.363207299,0.317563037,ipf - control,-0.266351844,0.049072724,-5.427696314,1.69E-07
CSDE1,103,103,13.14601594,13.5004993,0.354243245,0.304801946,ipf - control,-0.362417011,0.047645816,-7.606481336,1.19E-12
UBE3C,103,103,7.911573301,8.032401743,0.817073936,0.662175181,ipf - control,-0.116188931,0.107937775,-1.076443634,0.283065701
REV3L,103,103,9.686299003,9.872471959,0.417194475,0.331893733,ipf - control,-0.182771774,0.05334736,-3.426069733,0.000747459
TENM1,103,103,5.088774065,5.29337608,0.761733952,0.812087893,ipf - control,-0.225261491,0.110185504,-2.044384081,0.042266597
PAX7,103,103,0.029126214,0.048543689,0.168982577,0.257386593,ipf - control,-0.013755637,0.031312112,-0.439307218,0.660927874
MASP2,103,103,5.920321964,6.214154442,1.042453131,0.932666659,ipf - control,-0.23099343,0.141101794,-1.637069404,0.103237062
IYD,103,103,5.473195057,5.444767268,0.926663946,0.901598428,ipf - control,-0.004828108,0.132074526,-0.036555935,0.970876666
FAM76A,103,103,8.705673111,8.972162514,0.563333257,0.492789853,ipf - control,-0.244231191,0.07643604,-3.195236068,0.001630972
TRAF3IP3,103,103,9.096918272,9.218149009,0.853275833,0.768002349,ipf - control,-0.085553474,0.112526425,-0.760296734,0.448000245
POMT2,103,103,9.331732296,9.403935692,0.588566105,0.472426822,ipf - control,-0.049509097,0.077130273,-0.641889295,0.521702788
VTA1,103,103,10.0766709,10.10790233,0.419658394,0.443646745,ipf - control,-0.026647867,0.06248916,-0.42643984,0.670260182
MLXIPL,103,103,6.779853302,7.460898184,1.148298068,1.06642093,ipf - control,-0.647180154,0.160762459,-4.025692066,8.14E-05
BAZ1B,103,103,8.105781901,8.413247142,0.478184488,0.425210413,ipf - control,-0.297365259,0.065296986,-4.554042624,9.28E-06
RANBP9,103,103,8.184074047,8.313488428,0.636210208,0.480369653,ipf - control,-0.137231323,0.081615969,-1.681427359,0.09428904
ETV7,103,103,7.635188687,7.820854028,0.600577597,0.697509938,ipf - control,-0.205395099,0.091073359,-2.255270939,0.02523307
SPRTN,103,103,5.867652742,5.981583794,0.831389785,0.834240228,ipf - control,-0.122901015,0.119017018,-1.032633961,0.303060817
EEF1AKNMT,103,103,8.862522691,8.977791498,0.480241884,0.518971341,ipf - control,-0.096293587,0.07262824,-1.325842223,0.186450971
DYRK4,103,103,11.15610451,11.23285998,0.411918125,0.36289953,ipf - control,-0.068722866,0.056137695,-1.224183967,0.222367408
ZNF207,103,103,11.91780787,12.00942656,0.384428249,0.338980709,ipf - control,-0.100274665,0.052246189,-1.919272318,0.056417328
UQCRC1,103,103,11.83505617,11.92615062,0.410090836,0.354879623,ipf - control,-0.096917846,0.05535008,-1.750997387,0.081526896
STARD3NL,103,103,10.67973741,11.25295396,0.496159986,0.398245999,ipf - control,-0.577121102,0.06333765,-9.111817357,1.02E-16
CD9,103,103,10.72891748,10.8146946,0.553168769,0.534695349,ipf - control,-0.120410426,0.077438816,-1.554910475,0.121597222
HHATL,103,103,6.748344801,5.148075597,1.975187165,1.727328205,ipf - control,1.60309653,0.265098772,6.047166952,7.44E-09
NCAPD2,103,103,8.052564498,8.303204023,0.76931999,0.679280808,ipf - control,-0.234493683,0.103861458,-2.257754578,0.02507479
IFFO1,103,103,9.976175418,10.38764826,0.712072217,0.552136817,ipf - control,-0.391681732,0.090824144,-4.312528752,2.57E-05
GIPR,103,103,7.608483086,6.763075508,1.31676483,1.075322366,ipf - control,0.837435515,0.171906788,4.871451131,2.29E-06
PHF7,103,103,7.967638479,8.17327412,0.683723768,0.500976921,ipf - control,-0.198175084,0.086837863,-2.282127597,0.023566929
SEMA3G,103,103,8.820568419,10.49179503,1.351226306,1.067571327,ipf - control,-1.677210573,0.176135341,-9.522283051,7.02E-18
NISCH,103,103,11.21637529,11.45518865,0.652417211,0.491392977,ipf - control,-0.21750611,0.08330067,-2.611096781,0.009730597
STAB1,103,103,12.28318364,12.14227881,0.681993998,0.85392356,ipf - control,0.166684087,0.11013155,1.513499871,0.131780156
FUZ,103,103,10.11808177,9.915998312,0.812585065,0.577362562,ipf - control,0.186645731,0.101081017,1.846496382,0.066343533
SLC6A13,103,103,5.192089324,5.530290917,1.166410902,0.94328863,ipf - control,-0.299060813,0.150707864,-1.98437431,0.048623813
IDS,103,103,10.11630849,10.3692873,0.555317723,0.524803867,ipf - control,-0.266515556,0.077456982,-3.440820285,0.000710105
PRSS3,103,103,3.280611241,2.483474395,1.344470582,1.467469258,ipf - control,0.823398608,0.198738975,4.143115903,5.11E-05
ZNF200,103,103,7.903275481,8.100480061,0.416119844,0.481825118,ipf - control,-0.182306614,0.063955038,-2.85054344,0.004836405
CD4,103,103,8.364805496,7.946229976,0.790639142,0.755098869,ipf - control,0.420695117,0.108697058,3.870345002,0.000148393
LRRC23,103,103,10.2491084,9.755912111,1.130165014,0.843978835,ipf - control,0.470029066,0.143342853,3.279054776,0.001234493
BTK,103,103,10.18546916,10.46852755,0.754665595,0.605399386,ipf - control,-0.285815538,0.096993439,-2.946751268,0.003604886
HFE,103,103,8.360054198,8.52785244,0.5279434,0.634984326,ipf - control,-0.177703914,0.084178427,-2.111038658,0.036049767
SCMH1,103,103,10.05872551,10.39986408,0.372746917,0.311177056,ipf - control,-0.336279467,0.04990528,-6.73835453,1.78E-10
FYN,103,103,11.32381364,11.94172659,0.589926514,0.545412246,ipf - control,-0.590604221,0.08122717,-7.271018075,8.55E-12
