geneName,ipf_n,control_n,ipf_mean,control_mean,ipf_sd,control_sd,contrast,diff,SE,tratio,pvalue
SLC10A7,103,103,7.991653417,8.326507326,0.50809895,0.368962963,ipf - control,-0.318037235,0.063480447,-5.010003085,1.22E-06
NUDCD1,103,103,8.521479527,8.532819501,0.553503345,0.526584677,ipf - control,-0.021622933,0.076156631,-0.28392712,0.776769029
ENY2,103,103,11.88629216,11.983231,0.44842527,0.404831819,ipf - control,-0.104717734,0.059800328,-1.751123065,0.081505188
MASTL,103,103,7.762568922,8.062039139,0.464916743,0.395211586,ipf - control,-0.293828957,0.062020725,-4.737593103,4.17E-06
KIAA1217,103,103,8.724682978,9.079485348,0.785314102,0.707126419,ipf - control,-0.361707522,0.108470549,-3.334615018,0.001023284
LYZL1,103,103,0.152487109,0.105892142,0.592968678,0.54890451,ipf - control,0.04765241,0.082556972,0.577206371,0.56446928
PLXDC2,103,103,9.14938018,9.361883829,0.876477578,0.669699602,ipf - control,-0.247358339,0.111443906,-2.219577083,0.027605897
EPC1,103,103,10.05853345,10.36159016,0.446561564,0.432460048,ipf - control,-0.28115819,0.062955164,-4.466006791,1.35E-05
IQSEC3,103,103,7.652590762,8.065715406,1.111066137,1.131992896,ipf - control,-0.45778279,0.158888803,-2.881151974,0.004408247
CCDC77,103,103,8.10931103,8.382283445,0.59810802,0.521990933,ipf - control,-0.26274574,0.081199547,-3.23580301,0.001426275
TAF12,103,103,9.77687312,10.05978244,0.410032208,0.342672737,ipf - control,-0.282757065,0.054730676,-5.166336025,5.90E-07
ENOX1,103,103,6.022248834,5.90465179,0.548401842,0.534898958,ipf - control,0.128018066,0.077090593,1.660618516,0.098405437
TNFSF11,103,103,3.29613602,2.487213024,1.61126194,1.080911103,ipf - control,0.905697204,0.195201867,4.639797864,6.41E-06
MTRF1,103,103,8.225500847,8.248891532,0.720278417,0.628957909,ipf - control,-0.008237537,0.096816786,-0.085083767,0.932282537
SOHLH2,103,103,3.543031397,3.509184373,0.922491717,0.841753535,ipf - control,0.06080846,0.122963059,0.49452625,0.621494113
DNAJC15,103,103,8.693400322,8.68622223,0.624547482,0.644898368,ipf - control,0.006996867,0.090063863,0.077687839,0.938156434
PROSER1,103,103,8.344502544,8.576451434,0.680498863,0.57983818,ipf - control,-0.225390389,0.090333699,-2.495086447,0.013427282
UFM1,103,103,8.471865952,8.747676631,0.665581063,0.685644588,ipf - control,-0.27465859,0.097191572,-2.825950695,0.005207518
ELF1,103,103,8.955402928,9.454382421,1.035346329,0.877274858,ipf - control,-0.497488133,0.13730061,-3.623349768,0.000371373
SMAD9,103,103,7.361141075,8.003416273,0.633026566,0.650371816,ipf - control,-0.609237485,0.092137453,-6.612267498,3.58E-10
HSPH1,103,103,11.39369819,11.10449511,0.877469952,0.950154295,ipf - control,0.267534019,0.130128545,2.055921074,0.041129296
KBTBD7,103,103,6.827533004,7.213655007,0.634908664,0.766696444,ipf - control,-0.357850436,0.10205084,-3.506589822,0.000563852
ALG5,103,103,6.946069154,6.941570728,0.667731914,0.607723784,ipf - control,0.039277307,0.092074311,0.426582684,0.670156297
EXOSC8,103,103,9.118345423,9.244803827,0.717492484,0.563998623,ipf - control,-0.090438402,0.091826308,-0.984885535,0.325907012
ETF1,103,103,8.690052087,8.980473358,0.749209673,0.855236793,ipf - control,-0.305223751,0.114571356,-2.664049397,0.008370058
TGFBI,103,103,12.51273039,11.87017258,0.771031583,0.7315108,ipf - control,0.605678263,0.106327749,5.696332963,4.49E-08
FAM53C,103,103,6.472799541,6.726450877,0.936464585,0.914691706,ipf - control,-0.285086177,0.131820858,-2.162678824,0.031789447
SIL1,103,103,9.735403438,9.369693189,0.571703499,0.612846366,ipf - control,0.362926424,0.085117383,4.263834368,3.14E-05
PAIP2,103,103,8.041366892,8.103731347,0.507042984,0.442946541,ipf - control,-0.079332143,0.068475467,-1.158548396,0.248064476
MYOT,103,103,5.081124613,5.442335585,0.896201145,0.657804602,ipf - control,-0.353115499,0.113194171,-3.119555512,0.002087377
KDM3B,103,103,9.845279307,10.17240737,0.409806177,0.32378543,ipf - control,-0.319688263,0.053070802,-6.023806903,8.40E-09
SERP1,103,103,8.790391959,9.021142132,0.601404534,0.534906791,ipf - control,-0.233991923,0.081780552,-2.8612172,0.004682971
PLS1,103,103,5.573928539,5.675455441,1.430843189,1.16622078,ipf - control,-0.13831145,0.181760137,-0.760955907,0.447607339
ZFP30,103,103,7.213794609,7.343945647,0.660674455,0.619485052,ipf - control,-0.093039619,0.091086971,-1.021437178,0.308319408
NR2C1,103,103,10.18825586,10.55043119,0.647358444,0.507741987,ipf - control,-0.350098717,0.08458753,-4.138892752,5.20E-05
UTP20,103,103,2.146677228,2.273406704,1.245556595,1.173327788,ipf - control,-0.098050408,0.171753459,-0.570878795,0.568742489
TMPO,103,103,9.902454014,10.3680526,0.558534533,0.507064664,ipf - control,-0.455079636,0.076768142,-5.927975134,1.38E-08
ARL1,103,103,10.33109124,10.06295863,0.684931289,0.690989902,ipf - control,0.266849924,0.097134206,2.747229162,0.006576411
GLT8D2,103,103,9.904087443,9.216158901,0.604459576,0.786244691,ipf - control,0.696504196,0.099651058,6.989430996,4.32E-11
MTERF2,103,103,8.117806886,8.661650471,0.872597069,0.672584294,ipf - control,-0.535949872,0.112841492,-4.749581575,3.96E-06
SOCS2,103,103,11.10778348,11.3006992,0.741692204,0.912864101,ipf - control,-0.237719922,0.119337262,-1.992000796,0.047773465
NFYB,103,103,9.603912043,9.971242592,0.551455998,0.434667515,ipf - control,-0.357323397,0.072204692,-4.94875594,1.62E-06
WASHC3,103,103,11.04156064,11.21040948,0.3820076,0.363220664,ipf - control,-0.162993312,0.053986991,-3.019122008,0.002875859
APAF1,103,103,8.373930412,8.891719228,0.525098086,0.405530765,ipf - control,-0.498086333,0.066425745,-7.498392923,2.25E-12
DUSP4,103,103,3.109945249,2.58114015,1.291574445,1.45131369,ipf - control,0.484241952,0.198388395,2.440878423,0.015549052
CLU,103,103,15.40514928,14.46790608,0.798386139,0.774913252,ipf - control,0.95403878,0.113444431,8.409745388,8.79E-15
TNFRSF10B,103,103,10.94364768,10.78086996,0.543794714,0.596032051,ipf - control,0.136266907,0.080353628,1.69584013,0.091520308
SORBS3,103,103,12.35009336,12.83187568,0.569170337,0.402334484,ipf - control,-0.46789789,0.071041844,-6.58622953,4.13E-10
PTK2B,103,103,10.26037182,10.44920264,0.547297956,0.513145426,ipf - control,-0.173272563,0.075844412,-2.284579156,0.023419742
CHRNA2,103,103,3.719832766,3.955294417,1.230097282,1.315405913,ipf - control,-0.258459,0.184647616,-1.39974187,0.163187685
ADRA1A,103,103,4.844165026,7.600813985,1.29681944,1.23485461,ipf - control,-2.722979676,0.18368891,-14.82386541,9.69E-34
PPP3CC,103,103,9.767646149,10.15193377,0.376179443,0.389881833,ipf - control,-0.382238311,0.05506626,-6.941424984,5.68E-11
PDLIM2,103,103,11.93073802,12.64045398,0.622834939,0.484000984,ipf - control,-0.708825379,0.080938119,-8.757621064,9.82E-16
EPHX2,103,103,9.56415527,9.568059619,0.663524676,0.666591191,ipf - control,-0.004148056,0.09655448,-0.042960782,0.965776981
RNF170,103,103,6.850590636,7.012338575,0.749149117,0.725615269,ipf - control,-0.158437411,0.105747071,-1.498267604,0.135689112
UBIAD1,103,103,8.477350832,8.670016117,0.334274723,0.492582703,ipf - control,-0.17449525,0.060173694,-2.899859362,0.004163908
TARDBP,103,103,12.09903254,12.27745485,0.350442006,0.293928825,ipf - control,-0.177140964,0.046663101,-3.796167857,0.000196402
TNFRSF8,103,103,6.087977702,6.940094807,0.833873522,0.887776379,ipf - control,-0.834645304,0.125088814,-6.672421609,2.57E-10
PRAMEF2,103,103,0.126644603,0.032251729,0.615689456,0.248213463,ipf - control,0.072188627,0.067399723,1.071052287,0.28547658
ZNF706,103,103,11.91741291,12.00403098,0.340681626,0.30998941,ipf - control,-0.088910077,0.046703867,-1.903698392,0.058429707
LYPLA1,103,103,9.287803078,9.248379086,0.88222865,0.643798099,ipf - control,0.052176038,0.108918689,0.479036598,0.632452098
CRISPLD1,103,103,6.910387196,5.968048012,1.003166298,1.06745684,ipf - control,0.926818252,0.147407726,6.287446913,2.09E-09
COPS5,103,103,8.660813148,9.041204783,0.561938949,0.412683916,ipf - control,-0.351559546,0.070868473,-4.960732615,1.53E-06
RDH10,103,103,7.936922192,7.912647813,1.455983836,1.303462322,ipf - control,-0.002067945,0.194741731,-0.010618911,0.991538406
AKAP1,103,103,9.030992337,9.240470727,0.810291148,0.607117009,ipf - control,-0.201966524,0.103774815,-1.946199794,0.053075119
COIL,103,103,0.769894822,1.058465631,1.221844875,1.417061963,ipf - control,-0.263690602,0.191044072,-1.38026058,0.169094824
TRIM25,103,103,8.957690251,9.360594532,0.996373597,1.026323225,ipf - control,-0.452344055,0.142775415,-3.168220898,0.001782057
SCPEP1,103,103,12.77334115,12.53583991,0.532876334,0.499356187,ipf - control,0.216024347,0.073921962,2.922329738,0.003886818
SPOP,103,103,10.58778864,10.94714529,0.434012378,0.393850048,ipf - control,-0.341858395,0.059768103,-5.719746434,3.99E-08
TBX2,103,103,9.703993861,10.4658186,1.070612087,0.942986762,ipf - control,-0.753150268,0.144499495,-5.212130798,4.76E-07
SLC35B1,103,103,10.25162996,10.21112158,0.493878623,0.460246083,ipf - control,0.066870074,0.068589649,0.974929528,0.3308093
TBX4,103,103,10.03977552,10.79479794,0.797711535,0.753048277,ipf - control,-0.74236495,0.111753096,-6.642902775,3.02E-10
TEX14,103,103,6.272187986,6.907408317,0.66855149,0.779653453,ipf - control,-0.653411358,0.103867085,-6.290841392,2.05E-09
FAM117A,103,103,6.998601053,7.104580388,1.091708226,0.841373827,ipf - control,-0.097829671,0.140377509,-0.696904168,0.486697003
NCAPH,103,103,6.020892527,5.233515693,0.904657763,1.25764687,ipf - control,0.771992984,0.158967143,4.856305327,2.46E-06
LRAT,103,103,3.883815145,3.835603938,1.181967545,1.395842751,ipf - control,0.035813183,0.184553336,0.194053298,0.846337192
TMEM131L,103,103,7.949390922,8.336288649,0.530648574,0.445982093,ipf - control,-0.341059259,0.06883014,-4.955085967,1.57E-06
MND1,103,103,6.401126378,5.338497066,0.801074562,0.99931699,ipf - control,1.054798761,0.128607793,8.201670664,3.20E-14
TRIM6,103,103,6.71989114,6.4644263,0.73109482,0.72440033,ipf - control,0.266670505,0.104179671,2.559717301,0.011237323
ABCC11,103,103,2.34020433,2.490458249,0.753729853,0.812602498,ipf - control,-0.129276334,0.113319993,-1.140807813,0.25535624
TENT4B,103,103,8.033009162,8.381472185,0.486260784,0.427854552,ipf - control,-0.35309108,0.066343178,-5.322191217,2.82E-07
ADCY7,103,103,9.965505276,10.64444805,0.807548212,0.616734691,ipf - control,-0.667575677,0.10196161,-6.547323792,5.12E-10
CEP89,103,103,8.26634346,8.485669108,0.475218594,0.35977856,ipf - control,-0.207863805,0.06039691,-3.441629821,0.000708107
TSHZ3,103,103,8.039824754,7.870648777,0.509917499,0.549983503,ipf - control,0.166592889,0.074549607,2.234658186,0.026580661
ECHDC2,103,103,12.48609749,12.54046466,0.828807437,0.7237421,ipf - control,-0.038972417,0.112218406,-0.347290769,0.728749352
TAS2R8,103,103,0.428676031,0.267085194,0.663677615,0.567891768,ipf - control,0.21522392,0.086766547,2.480494246,0.013971468
PLBD1,103,103,6.794010511,7.50621104,1.369602548,1.416319624,ipf - control,-0.782714572,0.198259984,-3.94792007,0.000110207
TAS2R10,103,103,3.322434956,3.477748501,1.125459327,1.173598823,ipf - control,-0.148230735,0.161724701,-0.916562121,0.360510108
PRB2,103,103,2.024204663,1.881131608,2.062743213,1.819658573,ipf - control,0.156056179,0.278207596,0.560934287,0.575489636
PYROXD1,103,103,7.432861591,7.704980678,0.717578153,0.715470027,ipf - control,-0.282248668,0.100770887,-2.800894938,0.005612113
IAPP,103,103,0.569311243,0.397328277,0.684176823,0.553951451,ipf - control,0.160298586,0.089988427,1.781324473,0.076423992
KCNJ8,103,103,4.547116822,5.065360527,1.864715138,1.921098031,ipf - control,-0.628107749,0.274516127,-2.2880541,0.023212491
TAS2R7,103,103,0.123833859,0.067961165,0.409767467,0.289086998,ipf - control,0.060651143,0.049859272,1.216446626,0.225292759
BCL2L14,103,103,6.420409102,5.935379842,0.821004627,0.837847391,ipf - control,0.489057953,0.116566833,4.195515504,4.14E-05
TAS2R9,103,103,0.241988471,0.180436529,0.500284364,0.421931832,ipf - control,0.078434979,0.065785498,1.19228372,0.234606357
PSPC1,103,103,10.42463049,10.48988201,0.323311858,0.307387462,ipf - control,-0.048407175,0.04553376,-1.063105141,0.289055793
ZNF549,103,103,5.761893025,6.029454951,0.932478764,0.839160187,ipf - control,-0.218250886,0.122309213,-1.784419018,0.075918387
A1BG,103,103,9.589075993,9.469864585,0.501767769,0.511336032,ipf - control,0.112923909,0.073641745,1.533422506,0.126800943
ZSCAN18,103,103,11.14549328,11.07880159,0.453401944,0.439791441,ipf - control,0.056077879,0.06447355,0.869781161,0.385494889
ZNF211,103,103,9.221982045,9.270064237,0.66242247,0.561517546,ipf - control,-0.026470867,0.088003155,-0.300794516,0.76389331
PDZRN3,103,103,9.034213983,8.948774552,0.697027212,0.627350956,ipf - control,0.12974533,0.092708344,1.399500025,0.163260044
RGSL1,103,103,1.512555814,2.039233648,0.982405545,1.129121611,ipf - control,-0.590932756,0.149421999,-3.954790847,0.000107318
LHX4,103,103,0.679716121,0.620269481,1.067197252,1.037074864,ipf - control,0.078510965,0.152736346,0.514029355,0.607816477
RNF2,103,103,7.014802439,7.069468856,1.534858923,1.391554752,ipf - control,-0.058211895,0.210181081,-0.276960681,0.782105174
TRMT1L,103,103,6.216102691,6.317571774,1.246648205,1.316804692,ipf - control,-0.157173887,0.184431983,-0.852205157,0.39515105
SEC22A,103,103,8.992730658,9.169419529,0.392625891,0.366462093,ipf - control,-0.155953646,0.054438257,-2.864780329,0.004632748
CSTA,103,103,2.146006243,2.713678114,1.209255653,1.173979387,ipf - control,-0.607712244,0.170272541,-3.569056069,0.000451547
DPPA4,103,103,5.519927068,5.949644568,0.910514932,0.945045162,ipf - control,-0.464662165,0.131462143,-3.534570129,0.000510643
POPDC2,103,103,7.935490769,8.125825371,0.624315128,0.625653895,ipf - control,-0.151791838,0.088694053,-1.711409431,0.088603778
B4GALT4,103,103,9.214466957,9.086482194,0.525574202,0.417767717,ipf - control,0.129000698,0.068569434,1.881314917,0.061426937
NAA50,103,103,11.0017491,11.0586791,0.477064687,0.446402415,ipf - control,-0.062715225,0.066068662,-0.949243156,0.343677953
CD80,103,103,5.870133465,6.339604412,1.057398446,0.9066323,ipf - control,-0.518460238,0.14092837,-3.678891892,0.000303361
KIF18A,103,103,2.84144209,3.209491321,1.131967028,0.910565108,ipf - control,-0.344291766,0.148425836,-2.319621546,0.021402099
GJA8,103,103,0.230629976,0.172377549,0.495645047,0.449898675,ipf - control,0.08277138,0.068054913,1.216243998,0.22536974
DESI2,103,103,4.865825583,5.677485264,0.813406998,0.967588594,ipf - control,-0.809301464,0.126341022,-6.405690321,1.11E-09
MAPK8IP1,103,103,8.476563351,8.045814691,0.770192221,0.557584132,ipf - control,0.413163181,0.096315367,4.289691189,2.82E-05
CRY2,103,103,10.1460524,10.55558544,0.566631334,0.483727899,ipf - control,-0.411197647,0.07590489,-5.417274775,1.78E-07
PEX16,103,103,9.313880124,9.540664542,0.465918714,0.43577571,ipf - control,-0.217476416,0.065734229,-3.308419674,0.001118274
DEPDC7,103,103,3.2641056,2.852661655,1.222236093,1.274812206,ipf - control,0.446777938,0.174581376,2.559138592,0.011255422
CAT,103,103,7.116607258,7.696748331,1.291587801,1.21315567,ipf - control,-0.537968574,0.179264475,-3.000977045,0.003044666
PILRB,103,103,11.01996851,11.13632805,0.786373287,0.67073556,ipf - control,-0.085581077,0.104460124,-0.819270298,0.413637533
ZMYM2,103,103,10.69365759,10.70226839,0.501125649,0.406953618,ipf - control,-0.019971516,0.065305021,-0.305818998,0.760070377
GJB6,103,103,1.740804474,1.225598519,1.353780485,1.17483123,ipf - control,0.579805831,0.179822756,3.224318451,0.001481661
TBC1D15,103,103,10.53879592,10.9279112,0.450754498,0.411502984,ipf - control,-0.399882562,0.06203005,-6.446594191,8.86E-10
ADGRB2,103,103,7.15663995,5.547388058,0.692524416,1.012082873,ipf - control,1.618707772,0.124252552,13.0275616,2.77E-28
HCRTR1,103,103,3.144950672,3.248180945,0.927100114,0.974775988,ipf - control,-0.128787288,0.137799945,-0.934596083,0.351158331
ZCCHC17,103,103,10.12768646,10.30457,0.375440937,0.302369803,ipf - control,-0.179033602,0.048795674,-3.669046597,0.00031449
FABP3,103,103,10.84759837,10.39067939,0.970110983,1.119576891,ipf - control,0.424502006,0.149230683,2.844602716,0.004923774
KHDRBS1,103,103,8.932576854,8.940758286,0.525228653,0.583168681,ipf - control,-0.024587743,0.079989361,-0.307387665,0.758878043
TMEM39B,103,103,8.429279683,8.555585876,0.452554204,0.424559477,ipf - control,-0.100236142,0.063072518,-1.589220545,0.113638956
CCRL2,103,103,6.503227189,7.539639982,1.043413918,0.768138213,ipf - control,-1.012276654,0.129848837,-7.795808406,3.82E-13
CCR2,103,103,8.465849012,8.682826004,1.042962203,1.245107461,ipf - control,-0.220607631,0.163990773,-1.345244166,0.180116751
POLR3GL,103,103,6.903769155,7.231584207,0.653942568,0.514939156,ipf - control,-0.307024015,0.083467878,-3.678349349,0.000303965
GHSR,103,103,0.445422563,0.581083329,0.903881827,0.964734749,ipf - control,-0.145806329,0.127932566,-1.139712374,0.255811361
TNFSF10,103,103,9.761028658,10.46560208,0.940270108,1.00396873,ipf - control,-0.742862116,0.138633572,-5.358457604,2.37E-07
ZNF639,103,103,9.814241685,10.13157479,0.35093472,0.30063063,ipf - control,-0.313462585,0.047106923,-6.654278454,2.84E-10
SLITRK3,103,103,3.479580208,2.640326815,1.659158376,1.572436143,ipf - control,0.897320146,0.224611566,3.99498637,9.18E-05
PIK3CA,103,103,6.82792336,7.327454878,1.501672377,1.564283924,ipf - control,-0.540917116,0.220882605,-2.448889607,0.015217845
PDS5A,103,103,6.879963486,7.147785984,0.695210427,0.581176511,ipf - control,-0.290235475,0.091235573,-3.181165709,0.001708113
TMEM156,103,103,6.665268615,5.441625351,1.417628108,1.288825242,ipf - control,1.236471404,0.193309438,6.396332311,1.16E-09
LIAS,103,103,8.766744965,9.007001743,0.587171404,0.469826547,ipf - control,-0.21715655,0.076160785,-2.85129084,0.004825514
CPXM2,103,103,3.232884306,2.290864172,0.927927802,0.92792111,ipf - control,0.958499672,0.132404299,7.239188443,1.03E-11
TMEM54,103,103,7.363828565,7.127638799,0.742136451,0.618829031,ipf - control,0.236433838,0.098557113,2.398952551,0.017388786
ZSCAN20,103,103,5.606320389,5.766216916,0.640424872,0.642943663,ipf - control,-0.143884739,0.09276548,-1.551059074,0.122517328
CSMD2,103,103,4.761957865,4.494588367,0.770122726,0.798104091,ipf - control,0.308032667,0.111707239,2.757499609,0.006380992
HPCA,103,103,3.781480736,2.92648941,1.357434573,1.508983341,ipf - control,0.827915108,0.203923185,4.059936141,7.12E-05
LRIF1,103,103,7.288456292,7.710167463,0.456801942,0.54993514,ipf - control,-0.399457734,0.072954242,-5.475455898,1.34E-07
TMIGD3,103,103,7.123704365,7.107190796,1.291708867,1.715833458,ipf - control,0.00189909,0.21623923,0.008782359,0.993001806
CLCC1,103,103,9.701967989,9.766720867,0.361490266,0.360765916,ipf - control,-0.041457514,0.051762916,-0.800911492,0.424162669
GPSM2,103,103,8.561708127,8.415701116,0.553978824,0.371974482,ipf - control,0.172898054,0.067455093,2.56315789,0.011130255
GTDC1,103,103,9.54752643,9.985789076,0.445876244,0.37537896,ipf - control,-0.443156209,0.058726633,-7.54608578,1.70E-12
CXCR4,103,103,11.99940062,11.9287243,1.036624234,1.028648782,ipf - control,0.051015648,0.147703871,0.345391411,0.730174348
ZRANB3,103,103,5.865828993,5.978071296,0.592799067,0.481516395,ipf - control,-0.127916181,0.078030644,-1.639307014,0.102769945
ACVR2A,103,103,7.926006124,8.083659475,0.531973572,0.436218027,ipf - control,-0.136900031,0.070252509,-1.948685287,0.052775205
POLK,103,103,8.799601118,9.135588811,0.612590959,0.467692678,ipf - control,-0.347121331,0.078633051,-4.414445688,1.68E-05
SV2C,103,103,0.934643189,0.757620985,1.128117392,1.055019655,ipf - control,0.210740976,0.158811288,1.326989903,0.186071727
FLT3,103,103,5.404635247,5.606917166,0.867579603,1.145007219,ipf - control,-0.13226372,0.143879339,-0.919268332,0.359096804
RPL21,103,103,15.46670587,15.6752816,0.34721124,0.300888367,ipf - control,-0.21450448,0.046916709,-4.57202741,8.59E-06
MTIF3,103,103,11.37864756,11.4820811,0.412214735,0.340015528,ipf - control,-0.093442599,0.054370989,-1.718611365,0.087280441
GTF3A,103,103,11.63000157,11.74403851,0.377966039,0.364221598,ipf - control,-0.107626718,0.053593748,-2.00819539,0.046009487
RASL11A,103,103,10.13036886,10.33496137,0.601613225,0.70470826,ipf - control,-0.21138638,0.094582356,-2.234945159,0.026561478
UBL3,103,103,9.90065901,10.59854087,0.538907783,0.490472205,ipf - control,-0.705085504,0.074057019,-9.520846357,7.09E-18
FYTTD1,103,103,8.811478136,9.138428674,0.795732674,0.654329476,ipf - control,-0.327410156,0.104362624,-3.137235768,0.001971257
MTERF4,103,103,10.01374598,10.21234992,0.535096106,0.437820378,ipf - control,-0.16961763,0.070014414,-2.42261015,0.016328331
XPNPEP2,103,103,3.340082685,1.556333012,1.441299968,1.604481006,ipf - control,1.75989288,0.217135259,8.105053447,5.81E-14
SASH3,103,103,8.438403337,9.08513641,1.077148541,0.840508384,ipf - control,-0.639241122,0.138673354,-4.609689615,7.30E-06
OCRL,103,103,8.663653859,8.794341162,0.454279046,0.342279272,ipf - control,-0.130424298,0.058322299,-2.236268127,0.026473198
PAEP,103,103,4.440962743,3.594541551,1.777325604,1.654322099,ipf - control,0.753589763,0.247211784,3.048356966,0.0026219
OBP2A,103,103,2.888700954,3.674347885,2.056767762,1.408045175,ipf - control,-0.901509378,0.248895374,-3.622041518,0.000373136
MRPS2,103,103,8.083136067,8.022259083,0.769008531,0.642157865,ipf - control,0.087107986,0.102043399,0.853636659,0.394359122
TBX22,103,103,0.659831206,0.590552475,0.841303291,0.767790618,ipf - control,0.099098784,0.11243387,0.881396186,0.379194106
FMOD,103,103,6.050925939,6.556306566,1.374697295,1.131133142,ipf - control,-0.449449717,0.168559266,-2.666419519,0.008313381
LAX1,103,103,7.870570321,7.052200655,0.814867082,0.706662942,ipf - control,0.843269322,0.105865867,7.965450465,1.36E-13
PLG,103,103,6.974948271,7.371438441,0.7402181,0.787210534,ipf - control,-0.389571744,0.110689226,-3.519509164,0.000538668
KIAA1191,103,103,10.83977169,11.16275436,0.359007891,0.286586359,ipf - control,-0.318638822,0.047414232,-6.720320246,1.97E-10
COPA,103,103,11.41863254,11.54425643,0.423598467,0.385649181,ipf - control,-0.120941193,0.05839502,-2.071087459,0.039674043
CD244,103,103,3.248096276,4.482315301,1.514863287,1.453933151,ipf - control,-1.23060083,0.210085836,-5.857609689,1.98E-08
LY9,103,103,8.289296981,7.486906788,1.024004515,0.921629933,ipf - control,0.835483959,0.139330197,5.996431319,9.69E-09
HS3ST2,103,103,7.418474828,6.951400993,1.062897357,1.039839173,ipf - control,0.454961771,0.15229247,2.987421324,0.003176669
RBBP6,103,103,10.35142936,10.62172844,0.348876697,0.440466654,ipf - control,-0.268459141,0.057192015,-4.693996877,5.05E-06
ZC3H7A,103,103,10.13511892,10.47373449,0.638900421,0.514848784,ipf - control,-0.328729985,0.082205263,-3.998892201,9.04E-05
PRM2,103,103,0.143997117,0.030775971,0.517613911,0.219773831,ipf - control,0.119809264,0.057950137,2.06745436,0.040018576
SERAC1,103,103,4.776397653,4.958058326,0.77582555,0.617970594,ipf - control,-0.206217965,0.101274727,-2.036223362,0.043087166
ANXA11,103,103,12.61127559,12.74197329,0.507203088,0.411235019,ipf - control,-0.154814597,0.065432514,-2.366019385,0.018966208
LDB3,103,103,8.040437061,7.262613014,1.154257775,0.988728345,ipf - control,0.766709467,0.152602641,5.024221489,1.14E-06
OPN4,103,103,1.011879872,0.275889957,1.244053197,0.653049277,ipf - control,0.734960686,0.143299086,5.128858151,7.04E-07
SHLD2,103,103,9.111440247,9.297405242,0.43274088,0.367666891,ipf - control,-0.170837122,0.058108403,-2.939972748,0.0036812
PRXL2A,103,103,10.05902984,9.721822705,0.435970888,0.577910492,ipf - control,0.32173787,0.073270757,4.391081549,1.85E-05
ZNF205,103,103,8.551508124,8.973948538,0.506465922,0.437954129,ipf - control,-0.413723531,0.068393167,-6.049193966,7.36E-09
NAA60,103,103,10.82231178,11.19260071,0.381246652,0.33787065,ipf - control,-0.36497302,0.052491405,-6.953005334,5.32E-11
RPL5,103,103,9.083979636,9.03165611,0.823136576,0.755970845,ipf - control,0.043895084,0.114677916,0.382768413,0.70231053
ODF2L,103,103,10.90391744,10.82495653,0.764632364,0.514107552,ipf - control,0.074043836,0.094179679,0.786197587,0.432710989
PTGFR,103,103,5.965642531,6.486798332,1.177688227,1.01332093,ipf - control,-0.504689567,0.157565698,-3.203042119,0.001589581
SPATA1,103,103,6.932170424,7.303798293,0.819860243,0.557456831,ipf - control,-0.364674819,0.100995883,-3.610788957,0.00038863
TRMT13,103,103,6.526326502,6.925208146,1.039841237,0.929320135,ipf - control,-0.382700052,0.141865855,-2.69761919,0.007598885
LRRC39,103,103,6.021145177,6.161419405,0.76516341,0.694484227,ipf - control,-0.110210715,0.103192467,-1.068011245,0.286842614
RWDD3,103,103,9.330406782,9.384409182,0.56906486,0.588360925,ipf - control,-0.017324486,0.082485527,-0.210030622,0.833864187
ZNF644,103,103,9.329466887,9.496946499,0.412830406,0.404715653,ipf - control,-0.166767245,0.059317677,-2.811425748,0.005438704
CCDC18,103,103,7.184409222,7.423134138,0.541233429,0.468525602,ipf - control,-0.222004563,0.071345604,-3.11167823,0.002141122
RPAP2,103,103,7.994611185,7.922880546,0.482541215,0.539822251,ipf - control,0.069883201,0.074314912,0.940365796,0.348199366
PQLC1,103,103,10.18434591,10.46080088,0.359369193,0.423278928,ipf - control,-0.286275953,0.055469003,-5.161007684,6.05E-07
BBS9,103,103,8.615374396,8.574311178,0.561485787,0.430728145,ipf - control,0.029899824,0.072071768,0.414861808,0.678701479
PMS2,103,103,5.555953941,5.630928681,0.940778321,0.774305391,ipf - control,-0.054339395,0.122745297,-0.442700427,0.658475636
ZMIZ2,103,103,11.07607427,11.24659946,0.69289499,0.494364464,ipf - control,-0.156880913,0.08693198,-1.804639831,0.072681901
OCM,103,103,4.349469738,4.435268496,1.028116687,1.079345739,ipf - control,-0.048063061,0.15102536,-0.318244971,0.750641449
43715,103,103,13.06323388,13.33109188,0.390409431,0.372905435,ipf - control,-0.256258955,0.05469726,-4.685041917,5.26E-06
EEPD1,103,103,8.905782075,9.252547226,0.527857206,0.497365777,ipf - control,-0.337872174,0.073417797,-4.602047325,7.55E-06
KLHL7,103,103,9.347854451,9.655512316,0.45290203,0.323413918,ipf - control,-0.309468396,0.056671709,-5.460721099,1.44E-07
HERPUD2,103,103,9.426826769,9.866341027,0.405599299,0.330550409,ipf - control,-0.430361446,0.053617473,-8.026514911,9.40E-14
CBX3,103,103,10.01223443,10.13975738,0.458868694,0.35023716,ipf - control,-0.114955753,0.058334772,-1.970621468,0.050189627
HNRNPA2B1,103,103,14.37171952,14.58847047,0.369634579,0.351703928,ipf - control,-0.211858233,0.051694632,-4.098263657,6.11E-05
WIPF3,103,103,5.545038726,4.708898484,1.123479778,1.034704065,ipf - control,0.815702836,0.150509595,5.419606883,1.76E-07
